[INFO] 2018-03-30 16:50:33,999 ExtentManager setUp - Running Mobile banking API Automation testing on mPAY 4.0

[INFO] 2018-03-30 16:50:34,151 ExtentManager sendReqAppLogin - ******************************START******************************
[INFO] 2018-03-30 16:50:34,151 ExtentManager sendReqAppLogin - Request : App Login
[INFO] 2018-03-30 16:50:34,797 ExtentManager sendReqAppLogin - Hmaced Request : 401b56dfc7a4e3e1751eaedf1865905c261297e7e610549a6ef2e5d47822cf71*!9894060407APGC;BVD:4.0.9%23ANDROID7.1.1%23H1920W1080%23LENOVO+Lenovo+K8+Plus%2310.175.117.48%2312.8354858%2C80.2235916%3B463795;123457;4.0;0;112104267518972602468346866786252315196
[INFO] 2018-03-30 16:50:35,856 ExtentManager sendReqAppLogin - Response received from Server : GC00;N; ; ;N; ; ;Y;7ffffffffffff0ef;ffffffffffffffff;ffffffffffffffff;N;N;N;0508;http://www.freshersopenings.in/wp-content/uploads/2013/08/fss-logo.jpg;BID:C463795
[INFO] 2018-03-30 16:50:35,857 ExtentManager sendReqAppLogin - ******************************END********************************

[INFO] 2018-03-30 16:50:35,861 ExtentManager sendReq - ******************************START******************************
[INFO] 2018-03-30 16:50:35,862 ExtentManager sendReq - Request : Balance Enquiry
[INFO] 2018-03-30 16:50:35,862 ExtentManager sendReq - Hmaced Request : 601d9f9b7cc927d4d3eef0e438c9c46916ce04dd7ada8cf669cb9600bc2e8334*!9894060407APBE;Y;15316170605690416310253121025515855714;463795;123457;4.0;2478623864983269;81586815088976432154145197187831948328
[INFO] 2018-03-30 16:50:37,513 ExtentManager sendReq - Response received from Server : BE00;2,080.88;2,065.13; ;30/03/2018 16:51;TXNID:808916245968;BID:C463795
[INFO] 2018-03-30 16:50:37,514 ExtentManager sendReq - Transaction ID : 808916245968
[INFO] 2018-03-30 16:50:37,886 ExtentManager sendReq - ******************************END********************************

[INFO] 2018-03-30 16:50:37,891 ExtentManager sendReq - ******************************START******************************
[INFO] 2018-03-30 16:50:37,891 ExtentManager sendReq - Request : Mini statement
[INFO] 2018-03-30 16:50:37,892 ExtentManager sendReq - Hmaced Request : aa5f2638062235165494f3a483856804188787ae34c0237c5222d694e1a2ef51*!9894060407APMS;Y;15316170605690416310253121025515855714;463795;123457;4.0;2478623864983269;147595357596437338011001029821386250628
[INFO] 2018-03-30 16:50:39,174 ExtentManager sendReq - Response received from Server : MS00;08/11/17 D NEFT/SUBRAMANIAN-VELRAJAN 103.00#08/11/17 D NEFT/VGN-Facility-Mgmt-Se 107.00#08/11/17 D eBank/Tr-To-S.ANISH-KUMAR 201.00#08/11/17 D RTGS/TATA-CARD/TMBLH17312 216000.00#08/11/17 D eBank/Tr-To-SAROJINI.C 204.00#08/11/17 D NEFT/testaudit/TMBLH17312 108.00#08/11/17 D NEFT/Shanmugavel/TMBLH173 102.00#08/11/17 D NEFT/ing-vysys-test3/TMBL 109.00#08/11/17 D NEFT/ANNA-NAGAR-OWNER/TMB 100.00;2,080.88;TXNID:808916245969;BID:C463795
