[INFO] 2018-03-29 20:32:09,849 ExtentManager setUp - Running Mobile banking API Automation testing on mPAY 4.0

[INFO] 2018-03-29 20:32:10,004 ExtentManager sendReq - ******************************START******************************
[INFO] 2018-03-29 20:32:10,004 ExtentManager sendReq - Request : NEFT benificiary registration
[INFO] 2018-03-29 20:32:10,665 ExtentManager sendReq - Hmaced Request : c54fa747f681c6dce56ea192021ce7c46540b06c17cfcae29cb3e5cfff40853d*!9894060407APQ2;Y;15316170605690416310253121025515855714;32864783264;SA;HDFC0000001;NeftBeneficiary;463795;123457;4.0;2478623864983269;60707882144615641195826785157445248964
[INFO] 2018-03-29 20:32:11,729 ExtentManager sendReq - Response received from Server : Q209;Beneficiary already added. Please contact bank for further details;29/03/2018 20:33;TXNID:808820245378;BID:C463795
[INFO] 2018-03-29 20:32:11,730 ExtentManager sendReq - Transaction ID : 808820245378
[INFO] 2018-03-29 20:32:11,731 ExtentManager sendReq - ******************************END********************************

[INFO] 2018-03-29 20:32:11,740 ExtentManager sendReq - ******************************START******************************
[INFO] 2018-03-29 20:32:11,741 ExtentManager sendReq - Request : NEFT benificiary registration confirm
[INFO] 2018-03-29 20:32:11,747 ExtentManager sendReq - Hmaced Request : 8660f0308bea44475f47ec02950699e892437713d4c7beb26751f9fa33f6d8e5*!9894060407APQ3;Y;15316170605690416310253121025515855714;32864783264;SA;HDFC0000001;NeftBeneficiary;463795;123457;4.0;2478623864983269;187466447080026256029120776285146926285
[INFO] 2018-03-29 20:32:13,028 ExtentManager sendReq - Response received from Server : Q309;Beneficiary already added. Please contact bank for further details;29/03/2018 20:33;TXNID:808820245379;BID:C463795
[INFO] 2018-03-29 20:32:13,029 ExtentManager sendReq - Transaction ID : 808820245379
[INFO] 2018-03-29 20:32:13,030 ExtentManager sendReq - ******************************END********************************

[INFO] 2018-03-29 20:32:13,037 ExtentManager sendReq - ******************************START******************************
[INFO] 2018-03-29 20:32:13,038 ExtentManager sendReq - Request : NEFT benificiary list
[INFO] 2018-03-29 20:32:13,041 ExtentManager sendReq - Hmaced Request : 0b07332fe2e01eb23a063cfec4bb9eb51fa7083b949a6aca7717ae8f4b89e287*!9894060407APQ7;Y;15316170605690416310253121025515855714;P;001;463795;123457;4.0;2478623864983269;130018892087967508840831531407444889913
[INFO] 2018-03-29 20:32:15,520 ExtentManager sendReq - Response received from Server : Q700;P;NeftBeneficiary#nefttest#test;1;N;TXNID:808820245380;BID:C463795
[INFO] 2018-03-29 20:32:15,521 ExtentManager sendReq - Transaction ID : 808820245380
[INFO] 2018-03-29 20:32:15,522 ExtentManager sendReq - ******************************END********************************

[INFO] 2018-03-29 20:32:15,528 ExtentManager sendReq - ******************************START******************************
[INFO] 2018-03-29 20:32:15,529 ExtentManager sendReq - Request : NEFT benificiary payment
[INFO] 2018-03-29 20:32:15,530 ExtentManager sendReq - Hmaced Request : 5e672817cb17436a7d491054ea65caa6c48754ce31d0f8189482e429c8f1ba24*!9894060407APQ8;Y;15316170605690416310253121025515855714;30;NeftTest;NeftBeneficiary;463795;123457;4.0;2478623864983269;203156452136968641065716203679961586101
[INFO] 2018-03-29 20:32:16,394 ExtentManager sendReq - Response received from Server : Q832;Beneficiary not activated yet. Please try after sometime;29/03/2018 20:33;TXNID:808820245381;BID:C463795
[INFO] 2018-03-29 20:32:16,395 ExtentManager sendReq - Transaction ID : 808820245381
[INFO] 2018-03-29 20:32:16,396 ExtentManager sendReq - ******************************END********************************

