[INFO] 2018-03-29 17:23:23,989 ExtentManager setUp - Running Mobile banking API Automation testing on mPAY 4.0

[INFO] 2018-03-29 17:23:24,127 ExtentManager sendReq - ******************************START******************************
[INFO] 2018-03-29 17:23:24,127 ExtentManager sendReq - Request : P2A Quick FT
[INFO] 2018-03-29 17:23:24,748 ExtentManager sendReq - Hmaced Request : 3a0b81bb4aa1fc3ef90892ebfee29e12fead4b54a03b3168f468d772a689d3ba*!9894060407APQT;Y;15316170605690416310253121025515855714;3286478326489632;10;10;test   ;001;463795;123457;4.0;2478623864983269;52442407956759308108198517000247555613
[INFO] 2018-03-29 17:23:28,572 ExtentManager sendReq - Response received from Server : QT00;Fund Transfer to 3286XXX326489632 - successful. Rs. 10.00 debited from 2478XXX864983269;29/03/2018 17:24;TXNID:808817245286;BID:C463795
[INFO] 2018-03-29 17:23:28,573 ExtentManager sendReq - Transaction ID : 808817245286
[INFO] 2018-03-29 17:23:28,574 ExtentManager sendReq - ******************************END********************************

[INFO] 2018-03-29 17:23:28,591 ExtentManager sendReq - ******************************START******************************
[INFO] 2018-03-29 17:23:28,592 ExtentManager sendReq - Request : m2a benificary registration
[INFO] 2018-03-29 17:23:28,593 ExtentManager sendReq - Hmaced Request : 04ff45cbb1f20017d1896d54056eaf7639de34b42aeb22b5dff9de6326ec2045*!9894060407APRA;Y;15316170605690416310253121025515855714;463795;3286478326489632;10;FTBeneficiary;463795;123457;4.0;2478623864983269;167355935292939368586898583462431251710
[INFO] 2018-03-29 17:23:30,166 ExtentManager sendReq - Response received from Server : RA00;FTBeneficiary;3286478326489632;10;FTBeneficiary;29/03/2018 17:24;TXNID:808817245287;BID:C463795
[INFO] 2018-03-29 17:23:30,171 ExtentManager sendReq - Transaction ID : 808817245287
[INFO] 2018-03-29 17:23:30,171 ExtentManager sendReq - ******************************END********************************

