[INFO] 2018-03-27 09:17:48,943 ExtentManager setUp - Running Mobile banking API Automation testing on mPAY 4.0

[INFO] 2018-03-27 09:17:49,099 ExtentManager sendReqAppLogin - ******************************START******************************
[INFO] 2018-03-27 09:17:49,099 ExtentManager sendReqAppLogin - Request : App Login
[INFO] 2018-03-27 09:17:49,768 ExtentManager sendReqAppLogin - Hmaced Request : ad4bebdcbdf4724f26a74d6cb3c11486fde7faa8cc1d0f51483a07fccdc17c1c*!9894060407APGC;BVD:4.0.9%23ANDROID7.1.1%23H1920W1080%23LENOVO+Lenovo+K8+Plus%2310.175.117.48%2312.8354858%2C80.2235916%3B463795;123457;4.0;0;177087979206683878163305094669182655467
[INFO] 2018-03-27 09:17:50,794 ExtentManager sendReq - ******************************START******************************
[INFO] 2018-03-27 09:17:50,794 ExtentManager sendReq - Request : Balance Enquiry
[INFO] 2018-03-27 09:17:50,796 ExtentManager sendReq - Hmaced Request : ca0067ddbbcd159545baef3a6d1b55caf19567285e80cd1ffd918adce395a384*!9894060407APBE;Y;15316170605690416310253121025515855714;463795;123457;4.0;2478623864983269;67566159993728989998361209698213028208
[INFO] 2018-03-27 09:17:51,805 ExtentManager sendReq - ******************************START******************************
[INFO] 2018-03-27 09:17:51,806 ExtentManager sendReq - Request : Mini statement
[INFO] 2018-03-27 09:17:51,809 ExtentManager sendReq - Hmaced Request : afe4c4848f58cbf222e04f00b372c2c5a60890c68a3b4a3fa9e6b5574948f225*!9894060407APMS;Y;15316170605690416310253121025515855714;463795;123457;4.0;2478623864983269;123265643968090639579158406736285924993
[INFO] 2018-03-27 09:17:52,829 ExtentManager sendReq - ******************************START******************************
[INFO] 2018-03-27 09:17:52,830 ExtentManager sendReq - Request : Transaction History
[INFO] 2018-03-27 09:17:52,833 ExtentManager sendReq - Hmaced Request : f4282bde63e470b7445566560b7c3522776e51b176d6e5cda0f7ff500aba916e*!9894060407APTH;Y;15316170605690416310253121025515855714;001;463795;123457;4.0;2478623864983269;124950453748868290955890331454355635609
[INFO] 2018-03-27 09:17:53,846 ExtentManager sendReq - ******************************START******************************
[INFO] 2018-03-27 09:17:53,847 ExtentManager sendReq - Request : Generate MMID
[INFO] 2018-03-27 09:17:53,849 ExtentManager sendReq - Hmaced Request : b9914b60be63d6bb1fc7be8cd1f60d5c913994ad6f2b0db5abf47ed729b772ca*!9894060407APIM;Y;15316170605690416310253121025515855714;001;463795;123457;4.0;2478623864983269;185479112254204362940424922427645345883
[INFO] 2018-03-27 09:17:54,882 ExtentManager sendReq - ******************************START******************************
[INFO] 2018-03-27 09:17:54,883 ExtentManager sendReq - Request : Retrieve MMID
[INFO] 2018-03-27 09:17:54,885 ExtentManager sendReq - Hmaced Request : 7dd9c4d6f340783d9c8ceff9cb415f5ff331f01930e4daaf2b0426d5077fd007*!9894060407APS6;Y;15316170605690416310253121025515855714;2478623864983269;463795;123457;4.0;2478623864983269;169114422534216427246555338942282151955
[INFO] 2018-03-27 09:17:55,895 ExtentManager sendReq - ******************************START******************************
[INFO] 2018-03-27 09:17:55,896 ExtentManager sendReq - Request : Generate MMID
[INFO] 2018-03-27 09:17:55,898 ExtentManager sendReq - Hmaced Request : f934f0e132a1f2b01625c87b26c39c7f0f1b4f8ef7418cdaf6860c6d494dced1*!9894060407APIM;Y;15316170605690416310253121025515855714;001;463795;123457;4.0;2478623864983269;168367378314450038427642397736595536946
[INFO] 2018-03-27 09:17:56,913 ExtentManager sendReq - ******************************START******************************
[INFO] 2018-03-27 09:17:56,913 ExtentManager sendReq - Request : Generate MMID
[INFO] 2018-03-27 09:17:56,915 ExtentManager sendReq - Hmaced Request : 419db253ee750a5422b0716a5d9d80105c8beb4cbb8039606265cca182df7963*!9894060407APIM;Y;15316170605690416310253121025515855714;001;463795;123457;4.0;2478623864983269;125958546897860628106171907983607639485
[INFO] 2018-03-27 09:17:57,921 ExtentManager sendReq - ******************************START******************************
[INFO] 2018-03-27 09:17:57,922 ExtentManager sendReq - Request : Email ID fetch
[INFO] 2018-03-27 09:17:57,925 ExtentManager sendReq - Hmaced Request : fdfbd13b9c3fb0f7360ded88fec26247d493ad0f629f14b842b42a10fc63083e*!9894060407APZ6;Y;15316170605690416310253121025515855714;463795;123457;4.0;2478623864983269;116548422755953164838484789374693130082
[INFO] 2018-03-27 09:17:58,936 ExtentManager sendReq - ******************************START******************************
[INFO] 2018-03-27 09:17:58,937 ExtentManager sendReq - Request : Email ID Fetch
